cytoband	2q31.2	9p21.3	2p11.1	1p35.2	1q31.1	20q11.1	10q11.21	14q32.33	16p12.3	19q13.2	18q21.2	1q21.1	17p11.2	16p11.2	Yq11.221	17p13.1	17q24.2	Xp22.33	6p25.1	7q36.3	22q11.22	4q35.2	6q25.3	19q13.42	7q34	12q21.31	22q13.33	16q11.2	15q14	6q11.1	12p13.33	1q44	2p23.1	9q21.31	
																		MIR4328	FGD2													NCSTN	EVA1A	SNORA84	
																		MIR4329	PI16													ATP13A2	ANTXR1	SNORA70C	
																		MTRNR2L10	C6orf89													CRB1	POLR1B	MIR876	
																		MIR374C	ARMC12													ITGB3BP	ELMOD3	MIR873	
																		MIR23C	C6orf1													GPR161	RGPD5	LOC100128076	
																		MIR3937	LEMD2													TARDBP	C2orf16	LOC100128361	
																		MIR3672	ZBTB9													CELA3B	RHBDD1	FAM225B	
																		MIR676	ZBTB12													SLC35A3	CHCHD5	ASTN2-AS1	
																		MIR3690	C6orf136													ABCB10	YIPF4	LOC100128593	
																		MIR3915	ZSCAN12P1													ICMT	PRADC1	LINC00476	
																		HSFX1	HIST1H2AA													MACF1	C2orf88	LOC100129034	
																		LINC00629	KDM1B													LRRC8B	ING5	UNQ6494	
																		LOC100506790	RBM24													ZNF281	CCDC115	TOPORS-AS1	
																		CT47A12	RNF182													SNAPIN	NIFK	LOC100129316	
																		ARMCX5-GPRASP2	PHACTR1													LPAR3	C2orf40	LINC00484	
																		RPL36A-HNRNPH2	SMIM13													PADI4	ZNF512	C9orf92	
																		PIR-FIGF	SYCP2L													DDAH1	ZC3H8	IZUMO3	
																		MIR548AN	LINC00518													TMEM50A	KIAA1841	STPG3-AS1	
																		MIR4769	PXDC1													OPN3	ST6GAL2	FAM205C	
																		MIR4536-1	SERPINB9P1													PHLDA3	IL1F10	LOC100130548	
																		MIR4454	HS3ST5													RUSC1	DPY30	LINC01502	
																		MIR4768	GPRC6A													CA14	MCEE	CCDC183-AS1	
																		MIR1587	RFX6													KPNA6	LOXL3	FAM27E3	
																		MIR548AJ2	SLC35F1													SSBP3	ABHD1	LOC100132077	
																		MIR4770	FAM83B													STX12	PCGF1	LOC100132249	
																		MIR548AM	ADGRF2													DSTYK	DDX11L2	FRG1HP	
																		MIR4767	TSPO2													RAB3GAP2	MFSD9	FAM157B	
																		MIR3978	UNC5CL													CFAP45	PLCD4	GXYLT1P3	
																		MIR4666B	KCTD20													LMOD1	SFT2D3	LOC100132781	
																		MIR548AX	PXT1													NBPF14	CCDC142	FAM27C	
																		PTCHD1-AS	LHFPL5													MPC2	ZNF514	FAM95B1	
																		NHS-AS1	SCUBE3													TRIM58	FAM136A	LOC100133077	
																		SYP-AS1	ZSCAN23													INTS7	TMEM87B	FAM27B	
																		ZFX-AS1	NKAPL													OLFML2B	ATOH8	RNU6ATAC	
																		DLG3-AS1	TOB2P1													AHCTF1	LINC01101	LINC00092	
																		PHEX-AS1	FAM217A													C1orf43	MGC16025	LOC100272217	
																		PRKX-AS1	VGLL2													CLIC4	TANC1	VPS13A-AS1	
																		MED14OS	DEFB110													NSL1	EPT1	WASH1	
																		PPEF1-AS1	DEFB112													SYF2	LBX2	DDX11L5	
																		EIF1AX-AS1	DEFB113													RWDD3	PNPT1	LOC100288842	
																		PCYT1B-AS1	DEFB114													PARS2	KCNH7	SLC25A25-AS1	
																		HS6ST2-AS1	LACE1													MMACHC	FER1L5	FAM27E2	
																		DDX26B-AS1	HCG27													ZZZ3	MCFD2	FAM95C	
																		ZNF630-AS1	TMEM244													ACOT11	ATP6V1E2	MAN1B1-AS1	
																		FRMPD3-AS1	MMS22L													CHD5	FAM95A	MIR1299	
																		MID1IP1-AS1	FAM26E													DNM3	CCDC74A	MIR1302-8	
																		ARHGEF9-IT1	MCM9													TOR1AIP1	LOC90784	MIR1268A	
																		LINC00269	RNF144B													CHTOP	DHX57	MIR1302-2	
																		TCP11X2	HIST1H2BA													SZRD1	RAPGEF4-AS1	MIR2278	
																		LOC101059915	SCML4													LDLRAP1	SESTD1	MIR181A2HG	
																		CHMP1B2P	GPX6													SERBP1	CCDC74B	MIR1302-9	
																		CT45A7	SHPRH													NOC2L	PKDCC	MIR1302-10	
																		LINC00850	NCR3													OR1C1	ANKRD44	MIR3074	
																		MAGEA8-AS1	LY6G6F													PTPN22	RSAD2	MIR4292	
																		LINC01284	MDGA1													PHGDH	ZNF804A	MIR3152	
																		PLS3-AS1	ADGRF1													FBXO2	TTC30A	MIR3154	
																		LINC01282	ZNF311													LCE2B	DAPL1	MIR2861	
																		LOC101927476	LINC00326													OR2M4	CAPN13	MIR1302-11	
																		LOC101927501	PHACTR2-AS1													OR2L2	TMEM169	MIR4291	
																		LINC01204	CEP57L1													OR2L1P	DNER	MIR3153	
																		LINC01186	PPIL6													OPTC	DRC1	MIR4290	
																		LOC101927635	LINC01268													FBXO6	IMP4	MIR4289	
																		LOC101928128	FLJ34503													PLA2G2D	HNRNPLL	CCDC180	
																		LOC101928201	DCBLD1													AK5	MARS2	LOC100499484	
																		LOC101928259	LOC285762													MYCBP	B3GNT7	MIR3621	
																		LINC01285	LOC285766													OR10J1	NT5C1B	MIR3910-1	
																		LOC101928335	LINC01622													HEYL	NEURL3	MIR3689A	
																		LOC101928336	LY86-AS1													AGO1	SP140L	MIR3911	
																		PABPC1L2B-AS1	CAGE1													OR2T1	LOC93463	MIR3927	
																		LOC101928358	PACRG-AS1													RPS6KC1	SFXN5	MIR3910-2	
																		LOC101928389	LOC285819													SNORA73B	ORMDL1	MIR3689B	
																		LOC101928402	HLA-F-AS1													SNORD81	LIMS3	MIR3651	
																		LOC101928437	HCG22													SNORD79	LINC00152	LOC100505478	
																		MIR325HG	LOC285847													SNORD80	TUBA3E	LOC100505588	
																		LOC101928495	PNPLA1													SNORA66	CFAP36	TMEM210	
																		RAP2C-AS1	TREML4													SNORD47	TEX261	LOC100506100	
																		LOC101928627	RPL7L1													SNORD45B	TUBA3D	LINC01503	
																		LOC101928917	TAAR6													SNORD45A	STK11IP	LINC00963	
																		RHOXF1P1	SLC35D3													SNORD44	FMNL2	LOC100506422	
																		RHOXF1-AS1	ZC3H12D													SNORD55	CCDC85A	PPP1R26-AS1	
																		RNU6-7	MYLK4													RNU11	GALNT13	EBLN3P	
																		MIR6087	DPPA5													RNU6-1	KLHL29	GAS1RR	
																		MIR6089	IFITM4P													RNU5F-1	OSBPL6	MAMDC2-AS1	
																		MIR6134	CLPSL1													RNU5E-1	NOSTRIN	SMC5-AS1	
																		MIR6857	TREML1													RNU5D-1	DIRC1	LOC100507346	
																		MIR6895	TREML3P													RNVU1-7	WDR92	LINC01504	
																		MIR7641-2	RSPH4A													RNU1-3	MOGAT1	MSANTD3-TMEFF1	
																		MIR6086	ECT2L													RNU1-2	LYPD1	MIR4668	
																		MIR892C	EYS													RNU1-1	MRPL53	MIR3689D1	
																		MIR6894	ZNF391													RNF11	AGAP1	MIR4477A	
																		MIR8088	ZFP57													USP21	TWIST2	MIR3689F	
																		LINC01496	TUBB2B													FOXD3	PARD3B	MIR4667	
																		KANTR	SLC35B2													DIEXF	RPL23AP7	MIR4473	
																		CT45A10	C6orf52													TRAPPC3	PPP1R21	MIR4669	
																		CT45A9	NUP43													TAF5L	TRABD2A	MIR4673	
																		PABPC5-AS1	HCG26													CACYBP	TMEM150A	MIR3960	
																		GAGE10	C6orf58													HSPB7	NUP35	MIR4540	
																		RNU6-2	RAET1G													CHIA	XIRP2	MIR4665	
																		LINC01201	KAAG1													SLC39A1	TYW5	MIR4475	
																		LINC01402	GUSBP4													DISC2	NMS	MIR4674	
																		GS1-594A7.3	GJB7													DISC1	LYG1	MIR4478	
																		LINC01456	NHLRC1													ARHGEF16	MITD1	MIR3689C	
																		LOC105373156	ZKSCAN4													AHDC1	DIS3L2	MIR219B	
																		LOC105373185	GUSBP2													RNF115	CMPK2	MIR3689D2	
																		LOC105373300	LINC00533													KLHL20	MBOAT2	MIR4670	
																		LOC105373338	HMGA1P7													TEKT2	CNTNAP5	MIR4672	
																		XACT	SNHG5													SMPDL3B	TMEM18	MIR4474	
																		SNORA109	SUMO4													ANGPTL3	FBLN7	MIR4476	
																			CENPW													LAMTOR2	NEU4	MIR3689E	
																			SOGA3													FLVCR1	RBM45	MIR4479	
																			LINC00222													UBE2T	C2orf73	MIR548AW	
																			CEP85L													LINC00339	TRIM43	MIR548AU	
																			VN1R10P													CNIH4	BBS5	BANCR	
																			HIST1H2APS1													SSU72	CCDC173	NAMA	
																			THEMIS													TMOD4	ACMSD	FAM74A7	
																			PSMG4													GNL2	ICA1L	LINC01505	
																			SFTA2													GPSM2	FAM168B	PTENP1-AS	
																			CLPSL2													UBIAD1	CIB4	SNORD121B	
																			C6orf222													PYCR2	REG3G	LOC101448202	
																			GLYATL3													NME7	RFTN2	DNAJB5-AS1	
																			GFRAL													ALG6	CLHC1	ANKRD18CP	
																			LIN28B													NENF	PLEKHH2	LOC101926948	
																			SAMD5													PADI1	AP1S3	LINC01506	
																			IYD													IL19	C2orf76	LOC101927069	
																			MUC21													CERS2	SGPP2	LINC01474	
																			LINC01011													SLC25A24	ACVR1C	LOC101927358	
																			HTATSF1P2													PLA2G2E	OSR1	C9orf41-AS1	
																			STMND1													DNTTIP2	TTC32	GNA14-AS1	
																			CASC15													WRAP73	UBR3	LOC101927450	
																			LINC01623													CRNN	KCTD18	LINC01507	
																			LINC00243													G0S2	ALS2CR12	LOC101927502	
																			MCCD1													IL20	ZNF513	LOC101927575	
																			SAPCD1													SLC45A1	SPATA3	LOC101927623	
																			LINC00336													DCAF8	LYPD6	LOC101927827	
																			RAB44													HP1BP3	LYPD6B	LOC101927847	
																			LINC00951													F11R	GALM	LINC01508	
																			LOC401261													TMED5	TMEM198	LOC101927954	
																			CRIP3													RRP15	ZFAND2B	PCAT7	
																			TRAM2-AS1													GLRX2	TMEM178A	LOC101928195	
																			KLHL31													BOLA1	CPO	LOC101928381	
																			DKFZp451B082													DESI2	MDH1B	LOC101928438	
																			DEFB133													CELA2B	C2orf50	TMEM246-AS1	
																			C6orf201													ZNF593	PQLC3	NALT1	
																			GTF2H5													ZBTB7B	TMEM182	LINC01492	
																			ERVFRD-1													ZNF691	AHSA2	LOC101928523	
																			MIR206													TXNDC12	FBXO36	LOC101928525	
																			MIR219A1													TNNI3K	MTERF4	SMC2-AS1	
																			MIR30A													RRNAD1	CCDC148	HSPC324	
																			MIR30C2													ADIPOR1	M1AP	LINC01509	
																			HCG14													SCCPDH	MYO3B	LOC101928748	
																			HCG23													SH3GLB1	TMEM37	LOC101928775	
																			HCG25													MECR	UBE2F	LOC101928786	
																			HCG16													APH1A	DUSP19	LOC101928797	
																			HCG24													UTP11	TTL	LOC101928932	
																			HCG18													TRIM17	CKAP2L	LOC101929116	
																			HCG17													KCTD3	CBWD2	PGM5P3-AS1	
																			LINC00266-3													SDF4	TEKT4	LINC01231	
																			C6orf226													MRTO4	TISP43	RFX3-AS1	
																			TMEM151B													PLEKHO1	SATB2-AS1	LOC101929331	
																			LOC441155													HAO2	LINC01102	CDC37L1-AS1	
																			OOEP													ACP6	SMYD1	PTPRD-AS1	
																			FAM26F													TMEM69	LINC01104	PTPRD-AS2	
																			FLJ46906													MRPL37	C2orf15	PRRX2-AS1	
																			OR2B3													IER5	LINC01105	LURAP1L-AS1	
																			OR2J3													HOOK1	OTOS	FOCAD-AS1	
																			OR14J1													SNX7	COPS9	LOC101929563	
																			OR10C1													UCHL5	OR6B3	LINC01241	
																			ATP6V0CP3													SUCO	COMMD1	LOC101929583	
																			PTCHD4													HPCAL4	PROM2	IFT74-AS1	
																			SLC25A51P1													YTHDF2	ANKAR	LINC01243	
																			GSTM2P1													GPR89B	FBXO41	B4GALT1-AS1	
																			RFPL4B													HSD17B7	TTC30B	LINC01251	
																			MIR133B													UFC1	LINC00342	LOC101929748	
																			GGNBP1													DTL	GPAT2	MIR6722	
																			HCG11													ZCCHC17	ITPRIPL1	MIR6851	
																			KU-MEL-3													TRIM33	LOC150776	MIR6852	
																			LOC554223													METTL13	WTH3DI	MIR6854	
																			SNORD101													DPH5	FAM117B	MIR6856	
																			SNORD100													HSPB11	TCF23	MIR6877	
																			SNORA33													OAZ3	LOC150935	MIR7150	
																			FAM229B													PADI3	GAREM2	MIR7702	
																			TSG1													CYB5R1	PUS10	MIR8081	
																			LOC643623													CMPK1	PKI55	MIR6853	
																			TRAF3IP2-AS1													ARID4B	LINC00309	MIR7114	
																			CTAGE9													CD244	LINC01106	MIR6081	
																			LINC01625													GPR88	SEPT10	MIR6855	
																			RPS18P9													ERRFI1	KANSL1L	LOC102723566	
																			LOC645967													DPM3	PLB1	LOC102723709	
																			RAET1K													WNT4	ZSWIM2	LOC102724156	
																			C6orf132													YIPF1	LOC151121	LOC102724238	
																			RPS16P5													FBXO42	ZNF385B	LOC102724580	
																			PPP1R3G													MRPS21	LINC01107	LOC102725126	
																			ZNF192P1													TRMT13	LOC151174	LINC01230	
																			SNORA20													TMCO1	ERFE	LINC01410	
																			SNORA29													ADAMTSL4	ARL6IP6	RORB-AS1	
																			SNORA38													CRCT1	METTL21A	LOC103908605	
																			SNORD50B													RNF186	CCNYL1	LOC105375972	
																			SNORD32B													SPATA6	KLHL23	LOC105376064	
																			SNORD84													EGLN1	SULT1C2P1	LOC105376114	
																			SNORD117													MXRA8	PPP1R1C	LOC105376194	
																			MIR548A1													L1TD1	SGO2	LOC105376271	
																			MIR548A2													HES2	ALS2CR11	LOC105376306	
																			MIR548B													MAP10	SLC38A11	LOC105376331	
																			MIR586													RSBN1	CCDC140	LOC105379450	
																			MIR587													ZNHIT6	SLC23A3	XLOC_007697	
																			MIR588													GPN2	LINC00608	LINC01613	
																			MCHR2-AS1													LEPROT	GPBAR1	SNORD137	
																			TPI1P3													FBLIM1	FAHD2B	SNORD141A	
																			METTL24													MED18	MYADML		
																			HULC													TRIT1	FAM84A		
																			KATNBL1P6													GIPC2	RMDN2		
																			NBAT1													SWT1	GDF7		
																			STXBP5-AS1													GDAP2	SLC16A14		
																			TMEM242													FAM46C	LOC151475		
																			LINC01556													GON4L	LINC00471		
																			LOC729603													GPATCH4	LOC151484		
																			PACRG-AS3													PALMD	MSL3P1		
																			LOC730101													FNBP1L	ASPRV1		
																			GSTA7P													ST7L	WDSUB1		
																			TDRG1													PQLC2	UPP2		
																			LIN28B-AS1													CASZ1	LBX2-AS1		
																			TMEM170B													LAX1	GPR155		
																			SCARNA27													RHBDL2	DAW1		
																			MIR877													DUSP23	LONRF2		
																			UST-AS1													ADPRHL2	CCDC138		
																			TRAPPC3L													TRNAU1AP	ADGRF3		
																			KHDC1L													C1orf27	C2orf57		
																			ZSCAN16-AS1													C1orf109	OXER1		
																			LYRM4-AS1													C1orf56	FAM179A		
																			LOC100129518													CPSF3L	FAM171B		
																			LOC100129636													C1orf123	C1QL2		
																			TFAP2A-AS1													C1orf159	UBXN2A		
																			LOC100130357													MARC2	CLEC4F		
																			LOC100130476													AURKAIP1	DQX1		
																			PSORS1C3													TTC22	KCNG3		
																			TSTD3													MRPL20	CYS1		
																			C6orf99													AIM1L	FOXD4L1		
																			LOC100131047													SUSD4	CFAP221		
																			LOC100131289													KIF26B	VWA3B		
																			LINC00271													TMEM51	CREG2		
																			LINC01512													RALGPS2	ALMS1P1		
																			LOC100132735													GPATCH2	TET3		
																			LINC00240													BSDC1	GKN2		
																			CD24													XKR8	TEX37		
																			TOMM6													TMEM39B	ANKRD23		
																			LOC100270746													PRPF38B	APLF		
																			AIRN													HEATR1	PIKFYVE		
																			LOC100287632													CDCA8	KRTCAP3		
																			ANKRD66													LRRC8D	LOC200726		
																			HMGN3-AS1													MSTO1	TMEM17		
																			LOC100294145													DARS2	SPRED2		
																			NHEG1													ARHGEF10L	TIGD1		
																			MIR1275													PRMT6	LOC200772		
																			MIR2113													RNF220	AMER3		
																			MIR1236													VPS13D	LINC00116		
																			MIR1202													EVA1B	C2orf69		
																			LOC100422737													GOLPH3L	HNRNPA3		
																			MIR1273C													ATAD3A	SPDYA		
																			MIR548U													TMEM57	ATP6V1C2		
																			MIR3143													KLHDC8A	RNASEH1		
																			MIR3144													TRIM62	LCLAT1		
																			MIR3145													ETNK2	GPATCH11		
																			MIR4282													RAVER2	CERS6		
																			MTRNR2L9													PANK4	METAP1D		
																			MIR3918													KIRREL	NIFK-AS1		
																			MIR3934													TMEM206	LYG2		
																			MIR3668													YY1AP1	CFAP65		
																			MIR3662													ECHDC2	C2orf72		
																			MIR3925													FGGY	SH2D6		
																			MIR3692													MCOLN3	LOC284950		
																			MIR3691													SLC22A15	CCDC150		
																			SYNE1-AS1													YOD1	RNF149		
																			LOC100505530													CAMK2N1	LINC01114		
																			LOC100505635													BATF3	LOC285000		
																			LOC100506188													SLC30A10	FAM150B		
																			LOC100506207													UBE2Q1	CCDC141		
																			ELOVL2-AS1													RNPC3	STARD7-AS1		
																			JARID2-AS1													ITLN1	LOC285043		
																			LOC100506804													ASAP3	LINC00486		
																			LOC100506885													POMGNT1	C2orf61		
																			LINC01012													PNRC2	LOC285074		
																			LOC100507194													LRRC40	LINC01305		
																			SMLR1													DEPDC1	RTP5		
																			LINC01013													PIGV	LOC285095		
																			TARID													ZNF692	MED15P9		
																			LINC01015													NBPF1	AHCTF1P1		
																			KCNQ5-IT1													IARS2	DNAJC5G		
																			HCG8													MAP7D1	ERICH2		
																			LOC100507406													IPO9	IAH1		
																			MICA													NDC1	FLJ33534		
																			GVQW2													NECAP2	CYP1B1-AS1		
																			PSMB8-AS1													IQCC	FAM126B		
																			LOC100507477													C1orf112	UNC80		
																			LINC01277													HHAT	RUFY4		
																			LOC100507506													DNAJC11	PLGLA		
																			LOC100507547													ENAH	RGPD4		
																			LOC100507557													NUP133	DUSP28		
																			LINC01016													RCOR3	STON1-GTF2A1L		
																			MUC22													C1orf106	FAM201B		
																			GMDS-AS1													LRIF1	SPOPL		
																			CAHM													FAM63A	MLK7-AS1		
																			BLOC1S5-TXNDC5													ADCY10	CYP27C1		
																			EEF1E1-BLOC1S5													DCAF6	MROH2A		
																			RPS10-NUDT3													ASH1L	ESPNL		
																			MSH5-SAPCD1													LENEP	C2orf70		
																			ATP6V1G2-DDX39B													CTTNBP2NL	PRR30		
																			PPT2-EGFL8													RCC2	LINC00298		
																			MIR4464													FAM212B	LINC00299		
																			MIR4647													DMAP1	LOC339803		
																			MIR4466													AJAP1	C2orf74		
																			MIR4643													GNG12	LOC339807		
																			MIR4641													SLC50A1	LINC01115		
																			MIR4465													TMEM234	MSGN1		
																			MIR548AJ1													MTFR1L	KIAA1211L		
																			MIR3135B													SERTAD4	FIGLA		
																			MIR4646													KYAT3	NOTO		
																			MIR4459													ERO1B	NCKAP5		
																			MIR4640													FMN2	FOXI3		
																			MIR4639													SLAMF8	EVX2		
																			MIR4645													CDC42SE1	CDKL4		
																			MIR548AI													UBQLN4	PRORSD1P		
																			MIR4642													TMEM167B	SH3RF3		
																			MIR4463													OLFML3	GPR148		
																			MIR4462													SMYD2	ECEL1P2		
																			MIR548H5													LHX9	LRRTM1		
																			RAET1E-AS1													OTUD7B	GEN1		
																			MIR5689													COQ8A	C2orf48		
																			MIR5004													CTNNBIP1	FTCDNL1		
																			MIR5683													RSRP1	SPATA3-AS1		
																			MIR5690													AGTRAP	PFN4		
																			MIR5685													PITHD1	FAM228B		
																			KCNQ5-AS1													RAB25	LOC375196		
																			MLIP-IT1													PGLYRP4	ANKRD36		
																			SYNJ2-IT1													ZNF695	WASH2P		
																			LINC00581													RHBG	RBM43		
																			LOC100996634													MAN1C1	LINC01116		
																			FOXP4-AS1													SCYL3	CERKL		
																			LINCMD1													GJC2	CATIP		
																			PANDAR													CAMK1G	RBM44		
																			EZR-AS1													NIPAL3	AQP12A		
																			LOC101926898													SEPN1	ZC3H6		
																			LOC101926915													ATP8B2	KLHL30		
																			LOC101926934													TP73-AS1	RNF144A-AS1		
																			LOC101926962													VANGL2	MFSD2B		
																			LOC101927020													LINC00869	C2orf71		
																			LOC101927048													PBXIP1	LOC388942		
																			LOC101927082													S100A14	TMEM247		
																			LOC101927136													TMIGD3	LINC01118		
																			LINC01564													PLEKHG5	TSPYL6		
																			LOC101927189													GATAD2B	C2orf78		
																			LOC101927211													AMIGO1	BOLA3		
																			MANEA-AS1													LRRC47	C2orf81		
																			LOC101927314													ODF2L	FUNDC2P2		
																			LOC101927365													CGN	C2orf68		
																			LOC101927640													KIAA1324	SLC9A4		
																			LOC101927686													DISP3	DPP10-AS1		
																			LOC101927691													IGSF9	LOC389033		
																			FOXCUT													LRRC7	LINC01120		
																			LOC101927730													SIPA1L2	SP5		
																			LOC101927759													KIF17	PLEKHM3		
																			LOC101927768													ZNF687	C2orf80		
																			LOC101927919													ZSWIM5	RESP18		
																			LOC101927950													POGK	C2orf82		
																			LOC101927972													KIAA1522	OR6B2		
																			HRAT13													HCN3	PTRHD1		
																			LOC101928140													CACHD1	SULT6B1		
																			LOC101928191													MIER1	DYTN		
																			LOC101928231													KIAA1614	LOC400940		
																			LOC101928253													BRINP2	LINC00487		
																			LOC101928280													HES4	LINC01376		
																			LOC101928304													CCDC181	LINC00954		
																			LOC101928307													GRHL3	C2orf91		
																			EVADR													SLAMF7	LINC01121		
																			LOC101928429													ZP4	EML6		
																			LOC101928433													CADM3	LINC01122		
																			LOC101928461													PTBP2	LINC01185		
																			LOC101928489													RHOU	LOC400958		
																			LOC101928491													PRUNE1	PCBP1-AS1		
																			LOC101928516													DNASE2B	PAIP2B		
																			LOC101928519													DLGAP3	RGPD1		
																			LOC101928540													IL22RA1	ANKRD36C		
																			MEI4													HIVEP3	LOC400997		
																			C6orf229													KLHL12	FLJ42351		
																			LOC101928661													LGR6	NOC2LP2		
																			LOC101928663													GPBP1L1	TEX41		
																			LINC01526													HAPLN2	HAGLR		
																			LOC101928820													MIIP	FSIP2		
																			LOC101928911													GAS5	C2orf66		
																			LOC101928936													PAPPA2	ASB18		
																			LOC101929006													CELA2A	FLJ43879		
																			LOC101929057													BCAN	VWC2L		
																			CASC6													GPATCH3	FLJ31356		
																			LOC101929122													TNN	MIR10B		
																			LOC101929163													MRPS14	MIR128-1		
																			LOC101929188													DMRTB1	MIR149		
																			PACRG-AS2													DMRTA2	MIR153-1		
																			LOC101929243													CLSPN	MIR216A		
																			LOC101929555													PRDM16	MIR217		
																			LOC101929705													OXCT2	MIR26B		
																			ARMC2-AS1													RRAGC	C2orf27B		
																			LOC101929726													ADGRL4	DNAJB3		
																			LOC101930010													TINAGL1	ASTL		
																			C2-AS1													P3H1	CAPN14		
																			LINC01108													TFB2M	ACTR3BP2		
																			MIR6833													SEMA4A	LINC01123		
																			MIR6834													TOR3A	LOC440895		
																			MIR6835													RFWD2	LINC01191		
																			MIR6891													GREM2	FAR2P1		
																			MIR7111													RGS18	LOC440910		
																			MIR7161													PLA2G2F	POTEKP		
																			MIR7641-2													MFSD14A	LINC01124		
																			MIR6721													NUCKS1	H3F3AP4		
																			MIR6720													SMAP2	LOC440934		
																			MIR6832													ACBD3	LOC442028		
																			MIR6780B													SMYD3	SULT1C3		
																			MIR6873													ATPAF1	POTEE		
																			MIR7159													MARC1	COA5		
																			MIR7853													S100PBP	PHOSPHO2		
																			HCG21													MEAF6	CHAC2		
																			LOC102723649													RBM15	MIR375		
																			LOC102723831													EXO5	DFNB59		
																			LOC102723883													CEP85	MIR4435-2HG		
																			LINC01626													ARV1	CCDC148-AS1		
																			LOC102724053													NMNAT1	ANKRD30BL		
																			LOC102724096													ELOVL1	FBXO48		
																			LOC102724152													AIDA	SNORA41		
																			TBX18-AS1													VWA1	FAM110C		
																			LINC01276													DCLRE1B	LOC643072		
																			LOC103352541													MRPS15	LOC643387		
																			NCOA7-AS1													MRPL9	HCG2040054		
																			SAPCD1-AS1													PINK1	LOC644838		
																			TRIM31-AS1													JMJD4	GCC2-AS1		
																			LOC105374952													MARCKSL1	GGT8P		
																			LOC105374960													PRAMEF1	ANKRD36BP2		
																			LOC105374972													PRAMEF2	LOC645949		
																			LOC105374988													INTS3	LINC00607		
																			HCG20													NADK	LOC646736		
																			LOC105375014													ZFP69B	LOC646743		
																			LOC105375075													COA7	CYP4F62P		
																			LOC105377879													PHACTR4	ZNF806		
																			LINC01611													AUNIP	PRSS56		
																			LOC105377924													SCNM1	YY1P2		
																			LOC105377962													ERI3	FAM228A		
																			LOC105377967													C1orf50	TRIM43B		
																			LOC105377975													WDR77	POTEI		
																			LOC105378047													C1orf116	CFC1B		
																			LOC105378052													LINC00626	AQP12B		
																			LOC105378068													CCDC28B	RGPD3		
																			LOC105378098													C1orf35	LOC653602		
																			MEAT6													EFHD2	POTEJ		
																			LUADT1													MMEL1	MZT2A		
																			MDC1-AS1													RSG1	SNORA75		
																			DDX39B-AS1													FCRL2	LOC654342		
																			HLA-DQB1-AS1													DLEU2L	FAM138B		
																			SNORA98													OR4F5	PAX8-AS1		
																			SNORD141A													NKAIN1	LOC654841		
																			MIR5689HG													TTC13	SCARNA6		
																			LINC00680													EPS8L3	SCARNA5		
																			LINC00680-GUSBP4													CDC73	SNORD11		
																			TBC1D7-LOC100130357													MRPL24	SNORD70		
																			CNPY3-GNMT													MUL1	SNORD89		
																																PGBD5	SNORD92		
																																TNFAIP8L2	SNORD94		
																																C1orf54	MIR558		
																																TMEM53	MIR559		
																																AKIRIN1	MIR561		
																																HECTD3	MIR562		
																																BEND5	RGPD8		
																																VTCN1	LINC01249		
																																YRDC	FAM133DP		
																																ZYG11B	D2HGDH		
																																NOL9	LOC728323		
																																PPCS	POTEF		
																																LIN28A	LINC01125		
																																SH3D21	DCDC2C		
																																TTLL7	LOC728730		
																																SNIP1	PABPC1P2		
																																C1orf115	C1GALT1C1L		
																																HHIPL2	RGPD4-AS1		
																																VASH2	ANKRD20A8P		
																																AGMAT	LOC729224		
																																WDR78	FAHD2CP		
																																ZMYM1	LOC729348		
																																LINC00115	RAD51AP2		
																																ZNF669	RGPD6		
																																RPAP2	DIRC3		
																																ZNF672	DNAJC27-AS1		
																																MORN1	RGPD2		
																																FAM110D	MORN2		
																																KIAA0319L	LOC730100		
																																DHDDS	MEIS1-AS3		
																																PAQR6	MYT1L-AS1		
																																DENND2D	RFX8		
																																WLS	SNORD11B		
																																PCNX2	SNORA36C		
																																GPR157	SNORA70B		
																																TRIM46	MIR216B		
																																MROH9	MIR933		
																																RPF1	SLC8A1-AS1		
																																SIKE1	OST4		
																																ZC3H12A	LOC100128905		
																																SPSB1	LOC100129029		
																																TARS2	LOC100129175		
																																WDR26	TDRD15		
																																TRIM45	LOC100129434		
																																EDEM3	LINC01126		
																																FLAD1	CCNT2-AS1		
																																TRAF3IP3	LINC01460		
																																CPTP	PP14571		
																																ZNF436	LOC100130451		
																																TAS1R2	LOC100130452		
																																TAS1R1	LOC100130691		
																																SH3BP5L	NEMP2		
																																NPL	RAB6C-AS1		
																																GJA9	SP9		
																																OR4F16	LOC100132215		
																																OR6N2	CYP4F30P		
																																OR6K2	LOC100133920		
																																OR2L5	LOC100133985		
																																OR2G3	LINC01119		
																																OR2G2	LOC100144595		
																																OR2C3	RNU4ATAC		
																																SYNC	DBIL5P2		
																																CFHR5	SNAR-H		
																																TRIM11	DCTN1-AS1		
																																C1orf21	FAR2P2		
																																ACTL8	ARHGEF33		
																																ANKRD13C	LOC100271832		
																																NECTIN4	LIMS3-LOC440895		
																																SNX27	LOC100286922		
																																ANP32E	ANAPC1P1		
																																SHCBP1L	LOC100287010		
																																TRMT1L	SH3RF3-AS1		
																																TSSK3	LOC100288570		
																																CCNL2	LOC100288911		
																																NUAK2	MIR1471		
																																VANGL1	MIR1302-3		
																																ST6GALNAC5	MIR1302-4		
																																ISG20L2	MIR1246		
																																HYI	MIR1258		
